,name,5.6_Peak_Area,5.6_actual-RT,5.9_Peak_Area,5.9_actual-RT,6.4_Peak_Area,6.4_actual-RT,7.6_Peak_Area,7.6_actual-RT,8.1_Peak_Area,8.1_actual-RT,8.9_Peak_Area,8.9_actual-RT,11.1_Peak_Area,11.1_actual-RT,13.8_Peak_Area,13.8_actual-RT,14.1_Peak_Area,14.1_actual-RT,16.0_Peak_Area,16.0_actual-RT,18.7_Peak_Area,18.7_actual-RT,19.5_Peak_Area,19.5_actual-RT,19.7_Peak_Area,19.7_actual-RT
F-074-90-CL_Evan.D,CL_Evan.D,,,,,2.73896,6.514,12270.2,7.674,,,,,3.61239,11.151,7.78067,13.78,15.67091,14.115,86.97694,16.017,,,42.54308,19.559,13.64381,19.772
F-055-88-CL_Lismore.D,CL_Lismore.D,,,,,2.39028,6.53,11401.4,7.681,,,,,11.16256,11.136,2.97399,13.803,20.79783,14.122,86.95331,16.028,,,38.25258,19.571,18.82115,19.78
F-066-89-CL_Clarlyle.D,CL_Clarlyle.D,,,,,1.77102,6.516,12143.1,7.686,,,,,16.48627,11.132,2.6789,13.808,12.85776,14.13,119.38286,16.028,,,11.21395,19.585,5.97221,19.795
F-030-73-CL_3.D,CL_3.D,3.13528,5.61,,,,,,,134167.0,8.2,194.47903,8.912,,,32.74963,13.784,534.77472,14.159,1038.2522,16.08,,,,,5.04876,19.82
F-047-87-CL_ROH_07.D,CL_ROH_07.D,,,,,2.52214,6.534,11688.5,7.681,,,,,6.36589,11.148,1.59318,13.817,21.91496,14.122,83.47682,16.028,,,34.30867,19.572,14.65777,19.783
F-052-87-CL_ROH_07.D,CL_ROH_07.D,,,,,2.58464,6.532,11184.5,7.678,,,,,5.94361,11.147,1.5269,13.819,20.87631,14.12,79.8989,16.026,,,32.89933,19.571,14.25695,19.782
F-024-73-CL_3.D,CL_3.D,2.95575,5.604,,,,,,,128389.0,8.174,186.13281,8.895,,,31.50722,13.779,510.74609,14.15,992.60046,16.071,,,,,4.68883,19.815
F-075-90-CL_Evan.D,CL_Evan.D,,,,,2.75816,6.521,12283.7,7.675,,,,,3.62298,11.157,7.89921,13.784,15.79784,14.119,87.98469,16.021,,,42.46884,19.563,13.40881,19.775
F-048-87-CL_ROH_07.D,CL_ROH_07.D,,,,,2.55196,6.535,11790.8,7.682,,,,,6.31393,11.153,1.63511,13.821,21.98403,14.126,84.20134,16.031,,,34.561,19.574,14.86064,19.784
F-032-74-CL_4.D,CL_4.D,3.48398,5.608,,,9.79212,6.348,,,128998.0,8.176,368.53351,8.9,,,142.92999,13.776,5.85458,14.183,971.61902,16.073,,,,,60.39468,19.79
F-001-71-CL_1.D,CL_1.D,2.10666,5.697,,,,,,,136611.0,8.22,4.49901,8.945,,,313.99228,13.8,53.0192,14.184,1055.0874,16.105,,,,,267.04208,19.817
F-045-86-CL_whiskey_08.D,CL_whiskey_08.D,,,,,,,13162.2,7.681,,,,,21.16788,11.118,,,12.17101,14.12,82.90541,16.02,,,,,7.83169,19.784
F-072-89-CL_Clarlyle.D,CL_Clarlyle.D,,,,,,,12121.5,7.676,,,,,16.23837,11.129,2.64422,13.805,12.86309,14.126,119.35156,16.023,,,11.17307,19.581,5.87507,19.79
F-029-73-CL_3.D,CL_3.D,3.0061,5.611,,,,,,,130169.0,8.18,189.02826,8.901,,,31.92019,13.782,518.12073,14.154,1006.57733,16.075,,,,,4.53575,19.819
